Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2019-01-01,1295.5379638671875,1298.3232721345034,1280.5330547068534,1298.3232721345034,786846
2019-01-02,1280.8026123046875,1298.2334098832957,1273.2552442142248,1294.7292629470744,2058504
2019-01-03,1253.3985595703125,1283.9473416673668,1249.8045852059531,1281.2518608940973,2290756
2019-01-04,1247.1539306640625,1264.7194125577341,1234.125775079978,1259.5980435447084,2711485
2019-01-07,1243.3353271484375,1265.6178997461147,1239.0674830990342,1255.195397266606,1851513
2019-01-08,1241.89794921875,1252.365422767643,1235.4288384455615,1246.6600097041576,1437271
2019-01-09,1245.3572998046875,1252.0960028958436,1232.7334188088234,1248.4570593548544,1413005
2019-01-10,1251.2421875,1256.9027411516279,1242.8412941276606,1247.1091388029588,1063647
2019-01-11,1230.57666015625,1252.4100958028555,1222.8946066356896,1251.6014297271697,2489197
2019-01-14,1198.5006103515625,1228.420380809196,1195.894957029219,1228.420380809196,3080984
2019-01-15,1204.7899169921875,1211.1691986993126,1194.9963162240992,1203.9812509325511,3079248
2019-01-16,1205.9132080078125,1223.2990372439276,1200.3874504281214,1206.5870782082773,2454470
2019-01-17,1209.4173583984375,1214.5836966165782,1201.2409788662117,1208.5637236678033,1610419
2019-01-18,1184.124755859375,1214.763366161747,1179.7221152147736,1213.730076569739,2135781
2019-01-21,1181.1148681640625,1201.5106300900547,1144.1866915091935,1149.173375124457,8813681
2019-01-22,1169.074951171875,1187.3592737081576,1166.3345018632583,1183.2262251491006,2544978
2019-01-23,1169.3443603515625,1174.2412158960392,1162.24634921047,1168.9400821349534,1821323
2019-01-24,1163.8636474609375,1173.0283478675988,1156.3612479358492,1172.5341325223646,1654706
2019-01-25,1154.9683837890625,1180.7102435657584,1151.41937846461,1168.0415076113875,3136788
2019-01-28,1168.446044921875,1202.09469854552,1160.5393664630058,1163.95357658863,8004136
2019-01-29,1148.3199462890625,1175.9486282649884,1139.4696953760108,1171.6358145238116,3685535
2019-01-30,1163.0550537109375,1176.128180104099,1150.9703580697867,1153.935430967019,2385425
2019-01-31,1180.8902587890625,1187.5390241159118,1164.9419963567548,1171.6357302382726,5852257
2019-02-01,1190.1446533203125,1199.0847308437903,1179.7221490347129,1181.9683831341697,2515736
2019-02-04,1174.6905517578125,1192.1662083641309,1170.377738616401,1192.1662083641309,2308931
2019-02-05,1172.174560546875,1188.7068623521993,1168.0415125153886,1177.65534878511,1447400
2019-02-06,1180.97998046875,1187.8085097234148,1161.7971645206685,1175.2295996355722,2034886
2019-02-07,1164.49267578125,1186.7752512847935,1158.3379068691218,1180.6205920520601,1556295
2019-02-08,1133.6741943359375,1167.0532504066114,1128.1035784059218,1163.549103756718,2993525
2019-02-11,1119.9722900390625,1131.2034602159486,1097.0607028782154,1131.2034602159486,2981408
2019-02-12,1120.28662109375,1136.5044729670155,1115.5246712555077,1118.1751832621171,1571390
2019-02-14,1102.9906005859375,1106.7193705533107,1079.1805227944515,1095.2635784083507,6974738
2019-02-15,1116.9173583984375,1126.6211330300778,1105.9557804858823,1117.7260245643063,3620228
2019-02-18,1118.17529296875,1131.6976656144573,1114.1320717406588,1118.6245397718712,2186849
2019-02-19,1130.5743408203125,1141.0866702095482,1118.624334181801,1118.624334181801,2389086
2019-02-20,1146.971923828125,1152.4527122543445,1135.8754413351292,1136.5942800084686,2433082
2019-02-21,1153.755615234375,1160.4044898414322,1136.684236754323,1151.868800601406,2392129
2019-02-22,1150.38623046875,1153.1266797529597,1137.0436227735051,1151.8687668080865,2390188
2019-02-25,1146.3428955078125,1155.8669045512074,1135.6957696036543,1150.3861162065596,5873730
2019-02-26,1137.3580322265625,1145.5792701008106,1125.8124121069143,1135.516186266582,2417931
2019-02-27,1154.294677734375,1163.5492056355115,1139.2898785682075,1141.5810811074327,3555914
2019-02-28,1161.7071533203125,1170.692088524242,1144.0518433880989,1161.752121868086,9321535
2019-03-01,1175.723876953125,1178.7786675348345,1165.5708551181094,1168.3113045463226,2831577
2019-03-05,1173.2528076171875,1177.3858556102666,1147.4211205612207,1169.8384885867347,3948051
2019-03-06,1183.3160400390625,1192.7951911412003,1177.475831792856,1177.475831792856,2776738
2019-03-07,1215.1229248046875,1219.525565953862,1177.0267692680684,1189.470885312616,6207580
2019-03-08,1203.4422607421875,1224.6466861975518,1201.2858543258449,1212.9662702616984,4868283
2019-03-11,1209.866455078125,1213.864707244298,1203.9812788359432,1207.1709746031192,2661353
2019-03-12,1247.9178466796875,1260.5865851505234,1217.4588901489374,1217.4588901489374,6631152
2019-03-13,1238.6630859375,1255.689603140892,1233.496748442743,1254.0273024642925,2241672
2019-03-14,1239.6964111328125,1254.296930560903,1237.2255539988278,1244.1439101022315,1838850
2019-03-15,1254.74609375,1267.5945938627992,1238.6630391767278,1245.311912593985,5723980
2019-03-18,1238.932861328125,1268.4033859418855,1231.2506970873742,1255.1955737406392,2450686
2019-03-19,1220.109375,1235.3837666350528,1209.8216668587381,1231.834760685726,4053209
2019-03-20,1231.7447509765625,1241.7180068088326,1222.849643463691,1223.7481369563168,3871744
2019-03-22,1253.12890625,1271.3683691276142,1236.5067756288968,1239.0226014324946,3788604
2019-03-25,1237.0010986328125,1248.0076455427468,1231.026094088683,1246.2106582921454,1666203
2019-03-26,1233.4520263671875,1247.827923599069,1228.9145899316181,1239.7414814061356,2021089
2019-03-27,1227.74658203125,1249.8944720402455,1224.7816188473564,1239.0227210071719,2558997
2019-03-28,1245.9410400390625,1251.152346827589,1225.5452790469167,1231.8347342912923,3184285
2019-04-01,1268.8526611328125,1279.454929844576,1248.9959738344469,1248.9959738344469,3842703
2019-04-02,1266.6514892578125,1282.1055369733772,1261.0359036519524,1271.4584086005475,2737093
2019-04-03,1238.1690673828125,1271.3683598332038,1235.4286182124772,1266.3368179421796,2366304
2019-04-04,1229.76806640625,1252.4101694601788,1227.072585781691,1244.3237275865015,1980318
2019-04-05,1234.3505859375,1251.376996260053,1231.2058582498962,1234.3056173844896,2037782
2019-04-08,1234.2156982421875,1246.030910469208,1226.8479852568073,1239.6515184620378,1013017
2019-04-09,1235.6083984375,1246.21066716328,1227.34230089765,1236.2374097873267,2209945
2019-04-10,1232.328857421875,1241.7180710336963,1226.443680869027,1230.936148564518,2014958
2019-04-11,1238.124267578125,1247.0642356529552,1232.4188547541207,1232.4188547541207,3110225
2019-04-12,1222.760009765625,1241.5834075464727,1220.4239482505845,1239.9212162576591,2751659
2019-04-15,1219.1661376953125,1229.1393959458335,1216.5604839990194,1226.4439148143733,1933204
2019-04-16,1241.178955078125,1249.714643412316,1221.9511720525973,1221.9511720525973,3217456
2019-04-18,1222.5802001953125,1246.749700021545,1219.615237116772,1246.210625796301,2594906
2019-04-22,1222.0860595703125,1231.7448655141939,1215.2125617766953,1223.748250750358,3101477
2019-04-23,1211.34912109375,1226.4438586099411,1200.9266164656194,1223.4787856294527,2016454
2019-04-24,1222.5352783203125,1225.050994468271,1212.9663000176288,1215.6617806843346,1753395
2019-04-25,1217.593505859375,1240.4152630213573,1214.8980253208586,1228.1058360878355,2886022
2019-04-26,1220.333984375,1228.2407720610506,1213.8648742168832,1220.333984375,1767153
2019-04-30,1211.6636962890625,1227.7916139766724,1203.9815314516948,1226.4438734563905,1905624
2019-05-02,1220.828125,1236.7763856945724,1205.7783578656854,1212.4720910178487,1985540
2019-05-03,1225.185791015625,1233.811307217276,1221.9512361499294,1223.7482232619145,1239667
2019-05-06,1215.39208984375,1226.3088075914418,1212.876373900507,1215.9312736767265,1515052
2019-05-07,1227.88134765625,1234.8446731460342,1212.9663756398174,1219.615250301426,2596385
2019-05-08,1222.265625,1231.8346028221317,1217.458706654988,1225.4553208338384,1601700
2019-05-09,1218.7615966796875,1229.8580803543543,1201.8250142995985,1219.2558120301605,2464425
2019-05-10,1217.9080810546875,1224.1975362869875,1208.5637256308198,1221.6368514497158,1466154
2019-05-13,1183.89990234375,1217.458610368968,1178.8233924753401,1208.473675975101,3422913
2019-05-14,1205.5987548828125,1210.8549205005293,1154.8338665446663,1176.1281209669628,3132767
2019-05-15,1191.222900390625,1217.4588705559383,1186.4608402724107,1210.720168320389,2054728
2019-05-16,1201.4207763671875,1211.1694102930883,1175.4992571406372,1191.4025504811834,2058450
2019-05-17,1223.6583251953125,1232.2838408989767,1197.2875627853014,1199.4888279986394,2776586
2019-05-20,1304.118408203125,1307.3081041502983,1257.8909593198746,1257.8909593198746,6210427
2019-05-21,1302.0072021484375,1313.642761401594,1291.8991479969307,1307.3083369282201,2961180
2019-05-22,1312.7890625,1323.8405783713235,1295.2684361592296,1302.9056322564884,3304912
2019-05-23,1326.266357421875,1403.8063975937296,1317.1915941592483,1326.3561848443974,10485813
2019-05-24,1387.4088134765625,1391.9461400189487,1339.0698174402585,1341.450847242977,5626500
2019-05-27,1433.9957275390625,1437.5897017935463,1376.5819668878046,1387.00447028993,6730594
2019-05-28,1414.67822265625,1443.8792656771,1404.6151378562088,1433.9958357315816,4987068
2019-05-29,1394.8662109375,1434.8491722818342,1389.250626479026,1410.814470799566,3070738
2019-05-30,1400.3919677734375,1410.0507730405843,1383.680010363367,1392.6649454955968,2675199
2019-05-31,1399.44873046875,1420.9676080081822,1379.008001362088,1410.5899632053504,3945900
2019-06-03,1401.11083984375,1410.6348493749906,1389.4304238935113,1404.9742962350433,2617068
2019-06-04,1410.4552001953125,1424.1122581047516,1399.8529325723678,1402.5484131870771,3854101
2019-06-06,1362.0264892578125,1412.252304137353,1358.1629228519262,1410.3205209344098,3268594
2019-06-07,1360.1844482421875,1378.0195233985148,1343.6971134202838,1364.4074337643483,2572146
2019-06-10,1376.5819091796875,1385.4770170225186,1366.8782449070054,1370.2026270812846,1608705
2019-06-11,1369.57373046875,1383.8596898399119,1367.5071514797792,1383.8596898399119,1745105
2019-06-12,1356.0513916015625,1371.0113311588852,1351.0647085226587,1369.3939988956222,1495586
2019-06-13,1363.5091552734375,1373.7968642437884,1351.8735960766785,1355.8269902837649,1828211
2019-06-14,1371.370849609375,1383.5903408478596,1359.465809200528,1366.6087895740775,1854211
2019-06-17,1346.6173095703125,1380.9846904484205,1343.4725819082635,1374.6952351243224,2048759
2019-06-18,1352.5023193359375,1365.6651614639186,1345.7636180365412,1347.7402598792776,2098714
2019-06-19,1352.36767578125,1374.6952200002775,1345.0449309414478,1360.274353722634,2140698
2019-06-20,1399.04443359375,1404.3455680385407,1354.0748924402071,1356.0515345887188,3483179
2019-06-21,1383.45556640625,1410.590030152915,1374.6952535161959,1401.6500624086702,3028524
2019-06-24,1384.5787353515625,1404.7498742238915,1381.1195566832225,1388.6219568370147,1941777
2019-06-25,1379.187744140625,1394.462136095277,1366.6986605477061,1388.8915193718108,2384122
2019-06-26,1393.742919921875,1405.0190559774871,1373.7964102890985,1377.3903838935173,2789166
2019-06-27,1393.4737548828125,1409.6914986565102,1384.2641954252679,1401.650024758022,3763146
2019-06-28,1395.540283203125,1414.1391674310908,1390.553709289373,1398.2357641336068,3002811
2019-07-01,1398.64013671875,1409.736511158143,1394.6867427949187,1404.749827619763,1537022
2019-07-02,1405.109130859375,1406.9959453981398,1395.3604976762654,1401.649952591741,1294135
2019-07-03,1417.86767578125,1423.1238406877874,1401.8294794673052,1406.142292030268,2800104
2019-07-04,1412.1624755859375,1429.1440281051043,1409.0627162559883,1422.27052950456,1981745
2019-07-05,1400.16748046875,1430.0873612385567,1388.6668281894492,1420.5183824569053,3693134
2019-07-08,1339.06982421875,1393.7881026922305,1313.1932760972695,1392.5751583501808,4697122
2019-07-09,1371.640380859375,1382.242649775668,1334.5775178859017,1335.700634945704,4329323
2019-07-10,1347.336181640625,1374.335849713119,1332.196476064152,1369.1246524091189,2823544
2019-07-11,1343.427490234375,1359.3757504874407,1338.845195139794,1358.5222255005806,2156264
2019-07-12,1317.955322265625,1346.8419135958377,1313.5976502182218,1346.8419135958377,3495971
2019-07-15,1294.3697509765625,1324.3344881178962,1286.552901176001,1321.6839760892674,3950399
2019-07-16,1312.878662109375,1315.3944877883737,1282.060400778247,1295.6276307314445,3654380
2019-07-17,1307.71240234375,1321.2797427842652,1304.612643446985,1312.6990854518217,2225647
2019-07-18,1289.5179443359375,1307.2631925710978,1286.6428087468078,1298.1435704621115,2342881
2019-07-19,1268.2685546875,1299.9404508344696,1259.777725231959,1299.581031495507,3199700
2019-07-22,1261.21533203125,1274.9623269974807,1252.499988607814,1266.5164658270887,2646126
2019-07-23,1266.4266357421875,1271.1886953425221,1245.4916925353546,1271.1886953425221,4013444
2019-07-24,1262.6497802734375,1292.5470774122173,1252.456522526582,1283.491464998635,5434450
