Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2019-01-01,201.85609436035156,202.46302191675863,199.78541232478432,201.49908879995346,2586466
2019-01-02,200.35659790039062,202.24877663631165,198.17881026862486,201.53474308187145,10316782
2019-01-03,199.1070556640625,201.67755864217023,198.32162545573286,200.35662018070263,6350450
2019-01-04,200.60650634765625,202.03457352166976,199.32125494290713,199.32125494290713,8105747
2019-01-07,201.10633850097656,203.6768414498653,200.64222682760075,202.9985174258056,10133320
2019-01-08,202.9628448486328,203.85538138619293,200.89216279705286,201.35629718475496,7768619
2019-01-09,207.35411071777344,208.28235677294379,203.21274701869484,203.92678070500583,12651287
2019-01-10,206.78286743164062,209.71037576751507,206.28304617555742,207.60400720156116,10684824
2019-01-11,210.8885498046875,211.35268415346292,208.13954383586557,208.4251527883714,17419014
2019-01-14,210.1387939453125,210.4957994187489,207.06846993292456,210.28160971248144,6646635
2019-01-15,211.74539184570312,212.35231933455788,209.92460937913881,210.81714581045577,7490965
2019-01-16,209.9603271484375,211.74540008049303,208.28236040267822,211.35268494062726,8083821
2019-01-17,209.88893127441406,211.06707669797962,207.1756122618726,209.9960148314098,11009380
2019-01-18,208.1038360595703,210.7100259768102,207.53259558199525,209.38908753221125,11418250
2019-01-21,206.99708557128906,209.35337614610305,206.14023617705953,209.10345419623323,8519267
2019-01-22,206.8900146484375,207.78255116639772,203.60547754678439,206.96141123356884,10727385
2019-01-23,198.00027465820312,210.21017312921285,196.35801793469375,208.13949176928566,41735950
2019-01-24,199.14276123046875,202.32019160146888,198.39301800974653,199.42837015228622,29105831
2019-01-25,199.35699462890625,201.85607861609657,198.85717330553595,199.92821253285481,9240591
2019-01-28,196.1795654296875,199.53549892824591,195.78685028899793,199.14278378755634,9338450
2019-01-29,198.8214569091797,199.21417203343782,196.1795572214123,196.57227234567043,7267917
2019-01-30,196.7150421142578,200.07097507341092,195.78681881981998,199.99957850375975,10852162
2019-01-31,198.9642333984375,199.642557330941,195.3583787844933,197.42906017885093,15937442
2019-02-01,200.53512573242188,203.6411370070461,199.28556119833033,200.39230995179506,19060690
2019-02-04,197.85752868652344,201.28485870571188,197.10778539411106,201.28485870571188,6289877
2019-02-05,195.75111389160156,198.3573263574686,194.57296863078284,198.03600784188401,10205529
2019-02-06,198.28591918945312,198.78574047858595,196.0367347031853,196.35805323826912,8409442
2019-02-07,200.1424102783203,200.64223156516485,197.78609699481933,198.4287340620449,6177040
2019-02-08,196.7150421142578,200.78500865889526,196.0724277280822,199.57115382653762,4575570
2019-02-11,197.85752868652344,198.64295895403873,191.6811701013707,196.9292826296141,10335615
2019-02-12,196.572265625,200.28520437655945,196.0724443357909,197.82180753319298,7624089
2019-02-14,198.4287567138672,200.07101391259584,197.78611957328079,197.78611957328079,10378675
2019-02-15,199.9995880126953,200.60651545773035,196.64365489398511,199.2141578202167,38998388
2019-02-18,196.1438446044922,201.67756586300092,195.5726267288296,199.07137581916786,42232590
2019-02-19,197.00067138671875,199.35698472535785,195.64402327482043,195.64402327482043,35777932
2019-02-20,196.96498107910156,198.14312641364927,195.82252271763562,197.96462365926195,6208106
2019-02-21,196.39373779296875,197.60759271300998,195.78683296260735,197.00066525298936,7264425
2019-02-22,195.8582305908203,197.0363759149642,195.00140379953183,196.78647658696065,9100951
2019-02-25,197.5718994140625,197.89319530524244,194.9299773044912,196.0010164109608,31204722
2019-02-26,196.7150421142578,197.78608117765555,195.67971265051443,196.32232703669004,12233273
2019-02-27,196.42945861816406,199.14277754216485,195.5726317825293,197.07209571713548,13634026
